dd/MM/yyyy,HH:mm:ss.SSSS,RR,record,number
02/02/2022,18:28:46.5100,782,1,
02/02/2022,18:28:47.3000,790,2,
02/02/2022,18:28:48.0880,788,3,
02/02/2022,18:28:48.8410,753,4,
02/02/2022,18:28:49.5940,753,5,
02/02/2022,18:28:50.3360,742,6,
02/02/2022,18:28:51.0520,716,7,
02/02/2022,18:28:51.7580,706,8,
02/02/2022,18:28:52.4670,709,9,
02/02/2022,18:28:53.1760,709,10,
02/02/2022,18:28:53.8860,710,11,
02/02/2022,18:28:54.6000,714,12,
02/02/2022,18:28:55.3300,730,13,
02/02/2022,18:28:56.0860,756,14,
02/02/2022,18:28:56.8510,765,15,
02/02/2022,18:28:57.6100,759,16,
02/02/2022,18:28:58.3770,767,17,
02/02/2022,18:28:59.1520,775,18,
02/02/2022,18:28:59.9380,786,19,
02/02/2022,18:29:00.7130,775,20,
02/02/2022,18:29:01.4920,779,21,
02/02/2022,18:29:02.2860,794,22,
02/02/2022,18:29:03.0720,786,23,
02/02/2022,18:29:03.8440,772,24,
02/02/2022,18:29:04.6210,777,25,
02/02/2022,18:29:05.3980,777,26,
